employee_id,date_id,attrition_probability,risk_band,main_risk_driver,recommended_action,model_version
1,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
2,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
4,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
5,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
7,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
8,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
10,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
11,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
12,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
13,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
14,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
15,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
16,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
18,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
19,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
20,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
21,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
22,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
23,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
24,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
26,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
27,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
28,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
30,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
31,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
32,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
33,202401,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
35,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
36,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
38,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
39,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
40,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
41,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
42,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
45,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
46,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
47,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
49,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
51,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
52,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
53,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
54,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
55,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
56,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
57,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
58,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
60,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
61,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
62,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
63,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
64,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
65,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
68,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
70,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
72,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
73,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
74,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
75,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
76,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
77,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
78,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
79,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
80,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
81,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
83,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
84,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
85,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
86,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
88,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
90,202401,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
91,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
94,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
95,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
96,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
97,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
98,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
100,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
101,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
102,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
103,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
104,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
105,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
106,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
107,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
110,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
112,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
113,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
116,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
117,202401,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
118,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
119,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
120,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
121,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
124,202401,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
125,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
126,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
128,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
129,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
131,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
132,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
133,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
134,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
137,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
138,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
139,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
140,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
141,202401,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1
142,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
143,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
144,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
145,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
147,202401,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
148,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
150,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
151,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
152,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
153,202401,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1
154,202401,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
155,202401,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
158,202401,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1
159,202401,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1
