employee_id,department_id,role_id,region_id,date_id,monthly_income,salary_band,years_at_company,years_in_current_role,years_since_last_promotion,overtime_flag,training_times_last_year,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition_flag,annualized_income,estimated_replacement_cost
1,3,8,us_national,202401,5993,Mid,6,4,0,1,0,4,2,1,3,1,71916,86299.2
2,2,7,us_national,202401,5130,Mid,10,7,1,0,3,2,3,3,4,0,61560,73872.0
4,2,3,us_national,202401,2090,Low,0,0,0,1,3,3,4,3,3,1,25080,20064.0
5,2,7,us_national,202401,2909,Low,8,7,3,1,3,3,4,3,3,0,34908,41889.6
7,2,3,us_national,202401,3468,Low,2,2,2,0,3,2,1,3,3,0,41616,33292.8
8,2,3,us_national,202401,3068,Low,7,7,3,0,2,4,4,2,3,0,36816,29452.8
10,2,3,us_national,202401,2670,Low,1,0,0,1,3,1,3,2,4,0,32040,25632.0
11,2,3,us_national,202401,2693,Low,1,0,0,0,2,3,4,3,4,0,32316,25852.8
12,2,5,us_national,202401,9526,High,9,7,1,0,2,3,4,3,4,0,114312,91449.6
13,2,1,us_national,202401,5237,Mid,7,7,7,0,3,3,3,2,3,0,62844,50275.2
14,2,3,us_national,202401,2426,Low,5,4,0,0,5,2,1,3,3,0,29112,23289.6
15,2,3,us_national,202401,4193,Low,9,5,0,1,3,3,4,3,3,0,50316,40252.8
16,2,7,us_national,202401,2911,Low,5,2,4,0,1,3,1,2,3,0,34932,41918.4
18,2,3,us_national,202401,2661,Low,2,2,1,0,2,4,2,3,3,0,31932,25545.6
19,2,3,us_national,202401,2028,Low,4,2,0,1,4,3,3,3,3,1,24336,19468.8
20,2,5,us_national,202401,9980,High,10,9,8,0,1,1,2,3,3,0,119760,95808.0
21,2,7,us_national,202401,3298,Low,6,2,0,1,5,2,1,2,3,0,39576,47491.2
22,2,3,us_national,202401,2935,Low,1,0,0,1,2,4,4,2,3,0,35220,28176.0
23,3,4,us_national,202401,15427,High,25,8,3,0,3,4,1,3,3,0,185124,148099.2
24,2,7,us_national,202401,3944,Low,3,2,1,1,3,4,4,3,3,0,47328,56793.6
26,2,5,us_national,202401,4011,Low,4,2,1,0,5,3,1,2,3,0,48132,38505.6
27,3,9,us_national,202401,3407,Low,5,3,0,0,4,1,3,3,4,1,40884,32707.2
28,2,6,us_national,202401,11994,High,12,6,2,0,4,2,1,3,3,0,143928,115142.4
30,2,7,us_national,202401,1232,Low,0,0,0,0,6,4,3,3,3,0,14784,17740.8
31,2,7,us_national,202401,2960,Low,4,2,1,0,2,1,2,3,3,1,35520,42624.0
32,2,4,us_national,202401,19094,High,14,13,4,0,3,3,3,2,3,0,229128,183302.4
33,2,7,us_national,202401,3919,Low,10,2,6,1,5,1,2,3,4,1,47028,56433.6
